order_id,order_date,ship_date,year,quarter,month,month_name,customer_name,customer_segment,region,city,sales_rep,product_name,product_category,quantity,unit_price,discount_pct,unit_revenue,unit_cost,revenue,cogs,gross_profit,margin_pct,shipping_days,order_status,sales_channel,payment_method,customer_rating
ORD-00001,2022-03-06,2022-03-08,2022,Q1,3,March,Xeno Solutions,Startup,South,Hyderabad,Sneha Patel,USB-C Hub,Electronics,4,1950.0,10,1755.0,1229.89,7020.0,4919.56,2100.44,29.92,2,Returned,Referral,Bank Transfer,
ORD-00002,2022-07-13,2022-07-14,2022,Q3,7,July,Agile Ventures,SMB,West,Surat,Vikram Singh,Phone Stand,Accessories,4,620.0,15,527.0,194.03,2108.0,776.12,1331.88,63.18,1,Completed,Referral,UPI,4.6
ORD-00003,2022-08-12,2022-08-13,2022,Q3,8,August,Summit Group,Mid-Market,North,Lucknow,Arjun Mehta,Analytics Platform,Software,2,56380.0,0,56380.0,10104.99,112760.0,20209.98,92550.02,82.08,1,Returned,Email Campaign,Credit Card,
ORD-00004,2022-04-14,2022-04-15,2022,Q2,4,April,Zolo Solutions,Startup,North,Chandigarh,Rohan Gupta,Laptop Pro 15,Electronics,2,82650.0,20,66120.0,60128.11,132240.0,120256.22,11983.78,9.06,1,Completed,Referral,Credit Card,5.0
ORD-00005,2023-06-28,2023-07-03,2023,Q2,6,June,Rapid Ventures,SMB,West,Nashik,Ananya Iyer,Printer Laser,Office Supplies,8,10870.0,0,10870.0,7177.05,86960.0,57416.4,29543.6,33.97,5,Completed,Partner,Credit Card,3.1
ORD-00006,2024-09-03,2024-09-04,2024,Q3,9,September,Qero Enterprises,Startup,North,Delhi,Rohan Gupta,CRM Suite Annual,Software,2,38530.0,20,30824.0,7844.61,61648.0,15689.22,45958.78,74.55,1,Cancelled,Online,Net Banking,
ORD-00007,2022-03-23,2022-03-26,2022,Q1,3,March,Prime Pvt Ltd,Mid-Market,West,Nashik,Pooja Rao,Mechanical Keyboard,Electronics,5,6940.0,0,6940.0,3940.84,34700.0,19704.2,14995.8,43.22,3,Completed,Partner,Cheque,3.3
ORD-00008,2023-09-07,2023-09-12,2023,Q3,9,September,Prime Pvt Ltd,Mid-Market,North,Lucknow,Priya Sharma,Executive Chair,Office Supplies,10,20770.0,0,20770.0,9179.03,207700.0,91790.3,115909.7,55.81,5,Completed,Online,UPI,4.8
ORD-00009,2023-05-16,2023-05-22,2023,Q2,5,May,Agile Technologies,SMB,South,Coimbatore,Sneha Patel,Standing Desk,Office Supplies,5,27290.0,15,23196.5,14262.67,115982.5,71313.35,44669.15,38.51,6,Cancelled,Partner,Credit Card,
ORD-00010,2022-10-03,2022-10-09,2022,Q4,10,October,Zenith Enterprises,Mid-Market,East,Ranchi,Deepa Nair,Laptop Pro 15,Electronics,2,101760.0,15,86496.0,59674.47,172992.0,119348.94,53643.06,31.01,6,Completed,Email Campaign,Cheque,3.5
ORD-00011,2022-04-15,2022-04-19,2022,Q2,4,April,Tata Ventures,Enterprise,West,Mumbai,Vikram Singh,Phone Stand,Accessories,3,680.0,0,680.0,174.78,2040.0,524.34,1515.66,74.3,4,Cancelled,Referral,Net Banking,
